==636== NVPROF is profiling process 636, command: python3 test.py
==636== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==636== Profiling application: python3 test.py
==636== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
6.63825s  1.1840us                    -               -         -         -         -        8B  6.4437MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63832s  2.1760us                    -               -         -         -         -  8.0000KB  3.5062GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63837s  1.2160us                    -               -         -         -         -      128B  100.39MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63841s  1.3440us                    -               -         -         -         -      128B  90.826MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63847s  1.2160us                    -               -         -         -         -      128B  100.39MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63850s  1.2160us                    -               -         -         -         -      128B  100.39MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63852s  1.1840us                    -               -         -         -         -        8B  6.4437MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63859s  8.8000us                    -               -         -         -         -  72.000KB  7.8028GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63865s  1.2480us                    -               -         -         -         -      256B  195.63MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63869s  1.2160us                    -               -         -         -         -      256B  200.77MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63873s  1.2160us                    -               -         -         -         -      256B  200.77MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63876s  1.2800us                    -               -         -         -         -      256B  190.73MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63879s  1.2160us                    -               -         -         -         -        8B  6.2742MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63885s  3.1040us                    -               -         -         -         -  16.000KB  4.9158GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63890s  1.2160us                    -               -         -         -         -      256B  200.77MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63896s  1.2800us                    -               -         -         -         -      256B  190.73MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63900s  1.2160us                    -               -         -         -         -      256B  200.77MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63903s  1.2160us                    -               -         -         -         -      256B  200.77MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63906s  1.1840us                    -               -         -         -         -        8B  6.4437MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63912s  4.9920us                    -               -         -         -         -  32.000KB  6.1133GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63917s  1.2160us                    -               -         -         -         -      256B  200.77MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63924s  1.2480us                    -               -         -         -         -      256B  195.63MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63928s  1.2480us                    -               -         -         -         -      256B  195.63MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63931s  1.2160us                    -               -         -         -         -      256B  200.77MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63934s  1.2160us                    -               -         -         -         -        8B  6.2742MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63947s  28.128us                    -               -         -         -         -  288.00KB  9.7646GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63959s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63964s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63968s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63971s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63974s  1.1840us                    -               -         -         -         -        8B  6.4437MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63980s  4.9920us                    -               -         -         -         -  32.000KB  6.1133GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63985s  1.2160us                    -               -         -         -         -      256B  200.77MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63989s  1.2480us                    -               -         -         -         -      256B  195.63MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63994s  1.2480us                    -               -         -         -         -      256B  195.63MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.63998s  1.2160us                    -               -         -         -         -      256B  200.77MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64000s  1.1840us                    -               -         -         -         -        8B  6.4437MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64007s  4.9920us                    -               -         -         -         -  32.000KB  6.1133GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64012s  1.2160us                    -               -         -         -         -      256B  200.77MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64016s  1.2160us                    -               -         -         -         -      256B  200.77MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64022s  1.2480us                    -               -         -         -         -      256B  195.63MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64027s  1.2480us                    -               -         -         -         -      256B  195.63MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64030s  1.1840us                    -               -         -         -         -        8B  6.4437MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64038s  3.1040us                    -               -         -         -         -  16.000KB  4.9158GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64044s  1.2160us                    -               -         -         -         -      256B  200.77MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64049s  1.2160us                    -               -         -         -         -      256B  200.77MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64053s  1.2160us                    -               -         -         -         -      256B  200.77MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64056s  1.2160us                    -               -         -         -         -      256B  200.77MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64059s  1.3760us                    -               -         -         -         -        8B  5.5446MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64067s  16.320us                    -               -         -         -         -  144.00KB  8.4148GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64074s  1.2480us                    -               -         -         -         -      256B  195.63MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64082s  1.2160us                    -               -         -         -         -      256B  200.77MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64085s  1.2160us                    -               -         -         -         -      256B  200.77MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64088s  1.2160us                    -               -         -         -         -      256B  200.77MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64091s  1.1840us                    -               -         -         -         -        8B  6.4437MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64099s  3.1030us                    -               -         -         -         -  16.000KB  4.9174GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64104s  1.2160us                    -               -         -         -         -      256B  200.77MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64108s  1.2160us                    -               -         -         -         -      256B  200.77MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64112s  1.2480us                    -               -         -         -         -      256B  195.63MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64115s  1.2480us                    -               -         -         -         -      256B  195.63MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64118s  1.1840us                    -               -         -         -         -        8B  6.4437MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64128s  16.608us                    -               -         -         -         -  144.00KB  8.2689GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64157s  1.3120us                    -               -         -         -         -      256B  186.08MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64162s  1.3440us                    -               -         -         -         -      256B  181.65MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64166s  1.3440us                    -               -         -         -         -      256B  181.65MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64169s  1.2800us                    -               -         -         -         -      256B  190.73MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64172s  1.1840us                    -               -         -         -         -        8B  6.4437MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64178s  3.8720us                    -               -         -         -         -  16.000KB  3.9408GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64184s  1.4710us                    -               -         -         -         -      256B  165.97MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64188s  1.2480us                    -               -         -         -         -      256B  195.63MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64193s  1.2160us                    -               -         -         -         -      256B  200.77MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64198s  1.2160us                    -               -         -         -         -      256B  200.77MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64201s  1.2480us                    -               -         -         -         -        8B  6.1133MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64211s  9.0880us                    -               -         -         -         -  64.000KB  6.7160GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64218s  1.3760us                    -               -         -         -         -      512B  354.86MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64224s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64228s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64231s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64234s  1.1840us                    -               -         -         -         -        8B  6.4437MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64288s  121.66us                    -               -         -         -         -  1.1250MB  9.0301GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64314s  1.5360us                    -               -         -         -         -  1.0000KB  635.78MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64321s  1.9840us                    -               -         -         -         -  1.0000KB  492.22MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64328s  1.3120us                    -               -         -         -         -  1.0000KB  744.33MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64331s  1.3120us                    -               -         -         -         -  1.0000KB  744.33MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64334s  1.1840us                    -               -         -         -         -        8B  6.4437MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64344s  16.256us                    -               -         -         -         -  128.00KB  7.5092GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64351s  1.3120us                    -               -         -         -         -      512B  372.17MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64355s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64359s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64362s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64365s  1.2160us                    -               -         -         -         -        8B  6.2742MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64376s  15.232us                    -               -         -         -         -  128.00KB  8.0141GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64382s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64386s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64390s  1.2800us                    -               -         -         -         -      512B  381.47MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64395s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64398s  1.2480us                    -               -         -         -         -        8B  6.1133MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64407s  8.8000us                    -               -         -         -         -  64.000KB  6.9358GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64414s  1.2160us                    -               -         -         -         -      512B  401.55MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64418s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64424s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64428s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64431s  1.1840us                    -               -         -         -         -        8B  6.4437MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64446s  57.344us                    -               -         -         -         -  576.00KB  9.5793GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64462s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64468s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64475s  1.2800us                    -               -         -         -         -      512B  381.47MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64478s  1.4080us                    -               -         -         -         -      512B  346.79MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64481s  1.3760us                    -               -         -         -         -        8B  5.5446MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64488s  8.8000us                    -               -         -         -         -  64.000KB  6.9358GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64498s  1.3440us                    -               -         -         -         -      512B  363.30MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64506s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64511s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64514s  1.4400us                    -               -         -         -         -      512B  339.08MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64517s  1.5040us                    -               -         -         -         -        8B  5.0727MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64551s  63.456us                    -               -         -         -         -  576.00KB  8.6567GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64569s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64574s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64579s  1.3120us                    -               -         -         -         -      512B  372.17MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64582s  1.2800us                    -               -         -         -         -      512B  381.47MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64585s  1.1840us                    -               -         -         -         -        8B  6.4437MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64595s  8.8000us                    -               -         -         -         -  64.000KB  6.9358GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64601s  1.3440us                    -               -         -         -         -      512B  363.30MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64605s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64610s  1.2160us                    -               -         -         -         -      512B  401.55MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64613s  1.3760us                    -               -         -         -         -      512B  354.86MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64617s  1.2480us                    -               -         -         -         -        8B  6.1133MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64638s  61.984us                    -               -         -         -         -  576.00KB  8.8622GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64657s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64662s  1.4080us                    -               -         -         -         -      512B  346.79MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64666s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64669s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64672s  1.2160us                    -               -         -         -         -        8B  6.2742MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64680s  8.8000us                    -               -         -         -         -  64.000KB  6.9358GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64686s  1.2160us                    -               -         -         -         -      512B  401.55MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64690s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64696s  1.3440us                    -               -         -         -         -      512B  363.30MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64700s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64704s  1.1840us                    -               -         -         -         -        8B  6.4437MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64717s  59.424us                    -               -         -         -         -  576.00KB  9.2440GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64734s  1.3120us                    -               -         -         -         -      512B  372.17MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64739s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64744s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64747s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64752s  1.2160us                    -               -         -         -         -        8B  6.2742MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64759s  8.8320us                    -               -         -         -         -  64.000KB  6.9107GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64767s  1.2800us                    -               -         -         -         -      512B  381.47MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64771s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64777s  1.4400us                    -               -         -         -         -      512B  339.08MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64780s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64783s  1.2480us                    -               -         -         -         -        8B  6.1133MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64821s  58.976us                    -               -         -         -         -  576.00KB  9.3142GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64840s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64846s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64850s  1.3760us                    -               -         -         -         -      512B  354.86MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64853s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64856s  1.3760us                    -               -         -         -         -        8B  5.5446MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64864s  8.8000us                    -               -         -         -         -  64.000KB  6.9358GB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64870s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
6.64874s  1.2480us                    -               -         -         -         -      512B  391.25MB/s    Pageable      Device  Tesla P100-PCIE         1         7  [CUDA memcpy HtoD]
